,src_ip,dst_ip,src_port,dst_port,t_proto,dsfield,ip_flags,length,application,traffic_type,arc,d_proto
91,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,526,facebook,chat,nonvpn,TLS
92,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,101,facebook,chat,nonvpn,TLS
93,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
94,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,1404,facebook,chat,nonvpn,TLS
95,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,322,facebook,chat,nonvpn,TLS
96,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
97,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,189,facebook,chat,nonvpn,TLS
98,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,101,facebook,chat,nonvpn,TLS
99,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
100,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,1269,facebook,chat,nonvpn,TLS
101,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,473,facebook,chat,nonvpn,TLS
102,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
103,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
104,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,862,facebook,chat,nonvpn,TLS
105,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
106,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
107,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,1404,facebook,chat,nonvpn,TLS
108,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,322,facebook,chat,nonvpn,TLS
109,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
110,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,307,facebook,chat,nonvpn,TLS
111,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,101,facebook,chat,nonvpn,TLS
112,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
113,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,711,facebook,chat,nonvpn,TLS
114,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,797,facebook,chat,nonvpn,TLS
115,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,1299,facebook,chat,nonvpn,TLS
116,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,675,facebook,chat,nonvpn,TLS
117,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
118,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
119,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,697,facebook,chat,nonvpn,TLS
120,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
121,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,822,facebook,chat,nonvpn,TLS
122,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
123,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,1299,facebook,chat,nonvpn,TLS
124,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,634,facebook,chat,nonvpn,TLS
125,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
126,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
127,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
128,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
129,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,571,facebook,chat,nonvpn,TLS
130,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,1404,facebook,chat,nonvpn,TLS
131,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,58,facebook,chat,nonvpn,TLS
132,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
133,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,60,facebook,chat,nonvpn,TCP
134,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
135,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,1404,facebook,chat,nonvpn,TLS
136,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,310,facebook,chat,nonvpn,TLS
137,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
138,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,174,facebook,chat,nonvpn,TLS
139,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,101,facebook,chat,nonvpn,TLS
140,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
141,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,333,facebook,chat,nonvpn,TLS
142,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,1404,facebook,chat,nonvpn,TLS
143,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,101,facebook,chat,nonvpn,TLS
144,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,60,facebook,chat,nonvpn,TCP
145,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
146,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
147,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,1165,facebook,chat,nonvpn,TLS
148,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,1154,facebook,chat,nonvpn,TLS
149,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,482,facebook,chat,nonvpn,TLS
150,131.202.240.87,178.237.19.227,13397,443,tcp,0x00,0x40,60,facebook,chat,nonvpn,TLS
151,131.202.240.87,178.237.24.202,13393,443,tcp,0x00,0x40,60,facebook,chat,nonvpn,TLS
152,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
153,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,1404,facebook,chat,nonvpn,TLS
154,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,333,facebook,chat,nonvpn,TLS
155,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
156,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,252,facebook,chat,nonvpn,TLS
157,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,101,facebook,chat,nonvpn,TLS
158,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
159,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,1209,facebook,chat,nonvpn,TLS
160,131.202.240.87,131.202.244.3,56951,53,udp,0x00,0x40,76,facebook,chat,nonvpn,DNS
161,131.202.244.3,131.202.240.87,53,56951,udp,0x00,0x00,183,facebook,chat,nonvpn,DNS
162,131.202.240.87,131.202.244.3,56951,53,udp,0x00,0x40,76,facebook,chat,nonvpn,DNS
163,131.202.244.3,131.202.240.87,53,56951,udp,0x00,0x00,195,facebook,chat,nonvpn,DNS
164,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,1404,facebook,chat,nonvpn,TLS
165,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,410,facebook,chat,nonvpn,TLS
166,131.202.240.87,131.202.244.3,56952,53,udp,0x00,0x40,76,facebook,chat,nonvpn,DNS
167,131.202.244.3,131.202.240.87,53,56952,udp,0x00,0x00,183,facebook,chat,nonvpn,DNS
168,131.202.240.87,131.202.244.3,56952,53,udp,0x00,0x40,76,facebook,chat,nonvpn,DNS
169,131.202.244.3,131.202.240.87,53,56952,udp,0x00,0x00,195,facebook,chat,nonvpn,DNS
170,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
171,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,948,facebook,chat,nonvpn,TLS
172,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
173,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,658,facebook,chat,nonvpn,TLS
174,178.237.24.202,131.202.240.87,443,13393,tcp,0x00,0x40,60,facebook,chat,nonvpn,TCP
175,178.237.19.227,131.202.240.87,443,13397,tcp,0x00,0x40,60,facebook,chat,nonvpn,TCP
176,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
177,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,60,facebook,chat,nonvpn,TCP
178,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
179,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
180,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,1299,facebook,chat,nonvpn,TLS
181,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
182,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
183,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
184,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,1082,facebook,chat,nonvpn,TLS
185,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
186,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,1299,facebook,chat,nonvpn,TLS
187,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
188,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,1404,facebook,chat,nonvpn,TLS
189,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
190,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,163,facebook,chat,nonvpn,TLS
191,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,101,facebook,chat,nonvpn,TLS
192,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
193,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,1404,facebook,chat,nonvpn,TLS
194,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,308,facebook,chat,nonvpn,TLS
195,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
196,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,101,facebook,chat,nonvpn,TLS
197,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
198,131.202.240.87,131.202.244.3,56953,53,udp,0x00,0x40,76,facebook,chat,nonvpn,DNS
199,131.202.244.3,131.202.240.87,53,56953,udp,0x00,0x00,183,facebook,chat,nonvpn,DNS
200,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,1404,facebook,chat,nonvpn,TLS
201,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,550,facebook,chat,nonvpn,TLS
202,131.202.240.87,131.202.244.3,56953,53,udp,0x00,0x40,76,facebook,chat,nonvpn,DNS
203,131.202.244.3,131.202.240.87,53,56953,udp,0x00,0x00,195,facebook,chat,nonvpn,DNS
204,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,60,facebook,chat,nonvpn,TCP
205,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
206,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
207,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,1404,facebook,chat,nonvpn,TLS
208,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,343,facebook,chat,nonvpn,TLS
209,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
210,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,126,facebook,chat,nonvpn,TLS
211,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,101,facebook,chat,nonvpn,TLS
212,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
213,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,711,facebook,chat,nonvpn,TLS
214,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,799,facebook,chat,nonvpn,TLS
215,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,635,facebook,chat,nonvpn,TLS
216,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,1299,facebook,chat,nonvpn,TLS
217,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
218,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
219,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,697,facebook,chat,nonvpn,TLS
220,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
221,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,820,facebook,chat,nonvpn,TLS
222,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
223,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,635,facebook,chat,nonvpn,TLS
224,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,1299,facebook,chat,nonvpn,TLS
225,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
226,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
227,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
228,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
229,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,1404,facebook,chat,nonvpn,TLS
230,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,150,facebook,chat,nonvpn,TLS
231,131.202.240.87,131.202.244.3,56954,53,udp,0x00,0x40,76,facebook,chat,nonvpn,DNS
232,131.202.244.3,131.202.240.87,53,56954,udp,0x00,0x00,183,facebook,chat,nonvpn,DNS
233,131.202.240.87,131.202.244.3,56954,53,udp,0x00,0x40,76,facebook,chat,nonvpn,DNS
234,131.202.244.3,131.202.240.87,53,56954,udp,0x00,0x00,195,facebook,chat,nonvpn,DNS
235,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,60,facebook,chat,nonvpn,TCP
236,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
237,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
238,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,1404,facebook,chat,nonvpn,TLS
239,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,146,facebook,chat,nonvpn,TLS
240,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
241,173.252.110.27,131.202.240.87,443,1959,tcp,0x00,0x40,101,facebook,chat,nonvpn,TLS
242,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,698,facebook,chat,nonvpn,TLS
243,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,638,facebook,chat,nonvpn,TLS
244,131.202.240.87,173.252.110.27,1959,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
245,173.252.110.27,131.202.240.87,443,1967,tcp,0x00,0x40,99,facebook,chat,nonvpn,TLS
246,131.202.240.87,173.252.110.27,1967,443,tcp,0x00,0x40,54,facebook,chat,nonvpn,TCP
247,131.202.240.87,173.194.208.188,2417,5228,tcp,0x00,0x40,55,facebook,chat,nonvpn,DATA
248,173.194.208.188,131.202.240.87,5228,2417,tcp,0x00,0x00,66,facebook,chat,nonvpn,TCP
249,131.202.240.87,74.125.226.166,56937,443,udp,0x00,0x00,327,facebook,chat,nonvpn,DATA
250,131.202.240.87,74.125.226.166,56937,443,udp,0x00,0x00,1392,facebook,chat,nonvpn,DATA
251,131.202.240.87,74.125.226.166,56937,443,udp,0x00,0x00,1392,facebook,chat,nonvpn,DATA
252,131.202.240.87,74.125.226.166,56937,443,udp,0x00,0x00,1392,facebook,chat,nonvpn,DATA
253,131.202.240.87,74.125.226.166,56937,443,udp,0x00,0x00,419,facebook,chat,nonvpn,DATA
254,74.125.226.166,131.202.240.87,443,56937,udp,0x00,0x00,77,facebook,chat,nonvpn,DATA
255,74.125.226.166,131.202.240.87,443,56937,udp,0x00,0x00,74,facebook,chat,nonvpn,DATA
256,74.125.226.166,131.202.240.87,443,56937,udp,0x00,0x00,1392,facebook,chat,nonvpn,DATA
